Country,Year,Pop,Decade,GDP,Life_Expectancy,Region
Israel,1800,209954,1800,879,32,Middle East & North Africa
Italy,1800,18822234,1800,2225,29.69,Europe & Central Asia
Jamaica,1800,401000,1800,1170,34.2,America
Japan,1800,30294378,1800,1050,36.4,East Asia & Pacific
Jersey,1800,NA,1800,NA,NA,Europe & Central Asia
Jordan,1800,217000,1800,976,31.7,Middle East & North Africa
Kazakhstan,1800,2041282,1800,1140,26.2,Europe & Central Asia
Kenya,1800,2574000,1800,854,25.5,Sub-Saharan Africa
Kiribati,1800,17876,1800,551,24.9,East Asia & Pacific
North Korea,1800,4345000,1800,579,26,NA
South Korea,1800,9395000,1800,576,25.8,NA
United Korea (former),1800,NA,1800,NA,NA,NA
Kosovo,1800,NA,1800,NA,NA,Europe & Central Asia
Kuwait,1800,81280,1800,1097,26,Middle East & North Africa
Kyrgyz Republic,1800,530343,1800,508,23.941,NA
Lao,1800,470000,1800,864,31.9,NA
Latvia,1800,590588,1800,751,33,Europe & Central Asia
Lebanon,1800,332000,1800,1081,29.7,Middle East & North Africa
Lesotho,1800,276361,1800,393,32.8,Sub-Saharan Africa
Liberia,1800,313543,1800,797,31.1,Sub-Saharan Africa
Libya,1800,531472,1800,1050,33.1,Middle East & North Africa
Liechtenstein,1800,5802,1800,NA,NA,Europe & Central Asia
Lithuania,1800,778655,1800,1270,28.9,Europe & Central Asia
Luxembourg,1800,127030,1800,1453,36.9,Europe & Central Asia
"Macao, China",1800,17311,1800,992,34.7,East Asia & Pacific
"Macedonia, FYR",1800,391865,1800,690,36.1,Europe & Central Asia
Madagascar,1800,1543133,1800,573,30.5,Sub-Saharan Africa
Malawi,1800,737000,1800,350,30.3,Sub-Saharan Africa
Malaysia,1800,287000,1800,997,30.6,East Asia & Pacific
Maldives,1800,42378,1800,842,32.647,South Asia
Mali,1800,1403398,1800,603,26.408,Sub-Saharan Africa
Malta,1800,134072,1800,781,28.7,Europe & Central Asia
Marshall Islands,1800,5828,1800,539,NA,East Asia & Pacific
Martinique,1800,84039,1800,NA,30.153,America
Mauritania,1800,382696,1800,527,32,Sub-Saharan Africa
Mauritius,1800,62865,1800,940,28.7,Sub-Saharan Africa
Mayotte,1800,8219,1800,NA,32.5,Sub-Saharan Africa
Mexico,1800,6181708,1800,1379,26.9,America
"Micronesia, Fed. Sts.",1800,16416,1800,518,26.7,East Asia & Pacific
Moldova,1800,712558,1800,621,33.145,Europe & Central Asia
Monaco,1800,7789,1800,1948,NA,Europe & Central Asia
Mongolia,1800,619000,1800,592,31.8,East Asia & Pacific
Montenegro,1800,126582,1800,1057,35.4,Europe & Central Asia
Montserrat,1800,5230,1800,NA,NA,America
Morocco,1800,2503218,1800,715,33.1,Middle East & North Africa
Mozambique,1800,1982324,1800,390,30.278,Sub-Saharan Africa
Myanmar,1800,3506000,1800,840,30.8,East Asia & Pacific
Namibia,1800,229000,1800,540,32.4,Sub-Saharan Africa
Nauru,1800,1834,1800,554,NA,East Asia & Pacific
Nepal,1800,3881000,1800,654,32.8,South Asia
