Country,Year,Pop,Decade,GDP,Life_Expectancy,Region
Oman,1809,318000,1800,917,32.3,Middle East & North Africa
Pakistan,1809,13123633,1800,1020,25.8,South Asia
Palau,1809,3875,1800,840,NA,East Asia & Pacific
Panama,1809,78842,1800,848,32.9,America
Papua New Guinea,1809,754894,1800,547,31.5,East Asia & Pacific
Paraguay,1809,143000,1800,836,35.5,America
Peru,1809,1314151,1800,1205,35.7,America
Philippines,1809,1894389,1800,963,30.9,East Asia & Pacific
Pitcairn,1809,NA,1800,NA,NA,East Asia & Pacific
Poland,1809,9508747,1800,1255,35.9,Europe & Central Asia
Portugal,1809,3033454,1800,1687,35.6,Europe & Central Asia
Puerto Rico,1809,155000,1800,1377,30.43,America
Qatar,1809,14092,1800,1135,30.8,Middle East & North Africa
Reunion,1809,92744,1800,NA,33,Sub-Saharan Africa
Romania,1809,5464085,1800,817,35.7,Europe & Central Asia
Russia,1809,31088398,1800,1445,29.5734571976521,Europe & Central Asia
Rwanda,1809,928368,1800,436,31.8,Sub-Saharan Africa
St. Barthélemy,1809,NA,1800,NA,NA,NA
St. Helena,1809,1997,1800,NA,NA,NA
St. Kitts and Nevis,1809,17202,1800,1166,NA,NA
St. Lucia,1809,24000,1800,876,28.008,NA
St. Martin,1809,NA,1800,NA,NA,NA
St. Vincent and the Grenadines,1809,25781,1800,839,25.986,NA
St.-Pierre-et-Miquelon,1809,1782,1800,NA,NA,NA
Samoa,1809,47300,1800,1402,25.4,East Asia & Pacific
San Marino,1809,5492,1800,1424,NA,Europe & Central Asia
Sao Tome and Principe,1809,22731,1800,865,31,Sub-Saharan Africa
Saudi Arabia,1809,2091000,1800,851,32.1,Middle East & North Africa
Senegal,1809,1009886,1800,498,25.2,Sub-Saharan Africa
Serbia,1809,2147197,1800,1360,35.5,Europe & Central Asia
Serbia and Montenegro,1809,NA,1800,NA,NA,Europe & Central Asia
Serbia excluding Kosovo,1809,NA,1800,NA,NA,Europe & Central Asia
Seychelles,1809,12522,1800,820,37,Sub-Saharan Africa
Sierra Leone,1809,794264,1800,735,25.1,Sub-Saharan Africa
Singapore,1809,30000,1800,1023,29.1,East Asia & Pacific
Slovak Republic,1809,2140651,1800,1429,36.4,Europe & Central Asia
Slovenia,1809,469664,1800,1410,36.6,Europe & Central Asia
Solomon Islands,1809,56998,1800,363,25.1,East Asia & Pacific
Somalia,1809,991488,1800,700,29.4,Sub-Saharan Africa
Somaliland,1809,NA,1800,NA,NA,Sub-Saharan Africa
South Africa,1809,1440820,1800,1482,33.5,Sub-Saharan Africa
South Ossetia,1809,NA,1800,NA,NA,Europe & Central Asia
Spain,1809,11549294,1800,1520,29.5,Europe & Central Asia
Sri Lanka,1809,1213000,1800,899,32.6,South Asia
Sudan,1809,3994154,1800,519,31.4,Sub-Saharan Africa
Suriname,1809,80721,1800,1639,32.9,America
Svalbard,1809,NA,1800,NA,NA,Europe & Central Asia
Swaziland,1809,86000,1800,490,32.3,Sub-Saharan Africa
Sweden,1809,2354189,1800,1266,26.9,Europe & Central Asia
Switzerland,1809,1826051,1800,2705,38,Europe & Central Asia
Syria,1809,1337000,1800,1082,31.1,Middle East & North Africa
Taiwan,1809,NA,1800,997,28.3,East Asia & Pacific
Tajikistan,1809,466629,1800,558,24.235,Europe & Central Asia
Tanzania,1809,3019768,1800,563,32.2,Sub-Saharan Africa
Thailand,1809,4665000,1800,933,30.4,East Asia & Pacific
Timor-Leste,1809,137262,1800,530,28.949,East Asia & Pacific
Togo,1809,445985,1800,683,31.3,Sub-Saharan Africa
Tokelau,1809,1009,1800,NA,NA,East Asia & Pacific
Tonga,1809,18658,1800,663,28.2,East Asia & Pacific
Transnistria,1809,NA,1800,NA,NA,Europe & Central Asia
Trinidad and Tobago,1809,60000,1800,1232,32.9,America
Tunisia,1809,862029,1800,717,28.8,Middle East & North Africa
Turkey,1809,9773456,1800,1223,35,Europe & Central Asia
Turkmenistan,1809,367215,1800,953,24,Europe & Central Asia
Turks and Caicos Islands,1809,3296,1800,487,NA,America
Tuvalu,1809,2499,1800,719,NA,East Asia & Pacific
Uganda,1809,2101397,1800,464,25.3,Sub-Saharan Africa
Ukraine,1809,11215490,1800,771,36.6,Europe & Central Asia
United Arab Emirates,1809,40153,1800,1032,30.7,Middle East & North Africa
United Kingdom,1809,12327466,1800,3401,41.7422045622368,Europe & Central Asia
United States,1809,6801854,1800,2218,39.41,America
Uruguay,1809,55000,1800,1760,32.9,America
USSR,1809,NA,1800,NA,NA,Europe & Central Asia
Uzbekistan,1809,1919159,1800,503,26.926,Europe & Central Asia
Wallis et Futuna,1809,3721,1800,NA,NA,East Asia & Pacific
Vanuatu,1809,27791,1800,586,24.3,East Asia & Pacific
Venezuela,1809,718000,1800,683,32.2,America
West Bank and Gaza,1809,165944,1800,1222,32.1,Middle East & North Africa
West Germany,1809,NA,1800,NA,NA,Europe & Central Asia
Western Sahara,1809,2788,1800,NA,34.753,Middle East & North Africa
Vietnam,1809,6551000,1800,862,32,East Asia & Pacific
Virgin Islands (U.S.),1809,40000,1800,NA,33.403,America
North Yemen (former),1809,NA,1800,NA,NA,NA
South Yemen (former),1809,NA,1800,NA,NA,NA
Yemen,1809,2593000,1800,899,23.387,NA
Yugoslavia,1809,NA,1800,NA,NA,Europe & Central Asia
Zambia,1809,747000,1800,678,32.6,Sub-Saharan Africa
Zimbabwe,1809,1085814,1800,878,33.7,Sub-Saharan Africa
Åland,1809,NA,1800,NA,NA,Europe & Central Asia
South Sudan,1809,1027378,1800,508,26.665,Sub-Saharan Africa
Curaçao,1809,NA,1800,NA,NA,NA
Sint Maarten (Dutch part),1809,NA,1800,NA,NA,NA
St. Martin (French part),1809,NA,1800,NA,NA,NA
Antarctica,1809,NA,1800,NA,NA,NA
Bouvet Island,1809,NA,1800,NA,NA,NA
British Indian Ocean Territory,1809,NA,1800,NA,NA,NA
Clipperton,1809,NA,1800,NA,NA,NA
French Southern and Antarctic Lands,1809,NA,1800,NA,NA,NA
Gaza Strip,1809,NA,1800,NA,NA,NA
Heard and McDonald Islands,1809,NA,1800,NA,NA,NA
Northern Marianas,1809,NA,1800,NA,NA,NA
South Georgia and the South Sandwich Islands,1809,NA,1800,NA,NA,NA
US Minor Outlying Islands,1809,NA,1800,NA,NA,NA
Virgin Islands,1809,NA,1800,NA,NA,NA
West Bank,1809,NA,1800,NA,NA,NA
Abkhazia,1810,NA,1810,NA,NA,Europe & Central Asia
Afghanistan,1810,3280000,1810,604,28.1085333333333,South Asia
Akrotiri and Dhekelia,1810,NA,1810,NA,NA,Europe & Central Asia
Albania,1810,423591,1810,668,35.4,Europe & Central Asia
Algeria,1810,2595056,1810,725,28.8224,Middle East & North Africa
American Samoa,1810,8156,1810,NA,NA,East Asia & Pacific
Andorra,1810,2654,1810,1219,NA,Europe & Central Asia
Angola,1810,1567028,1810,645,26.98,Sub-Saharan Africa
Anguilla,1810,2025,1810,NA,NA,America
Antigua and Barbuda,1810,37000,1810,758,33.536,America
Argentina,1810,534000,1810,1510,33.2,America
Armenia,1810,413326,1810,514,33.995,Europe & Central Asia
Aruba,1810,19286,1810,834,34.419,America
Australia,1810,342440,1810,834,34.05,East Asia & Pacific
Austria,1810,3286650,1810,1924,34.4,Europe & Central Asia
Azerbaijan,1810,879960,1810,777,29.165,Europe & Central Asia
Bahamas,1810,27350,1810,1447,35.179,America
Bahrain,1810,64474,1810,1289,30.3,Middle East & North Africa
Bangladesh,1810,19611269,1810,875,25.5,South Asia
Barbados,1810,81729,1810,915,32.124,America
Belarus,1810,2355081,1810,611,36.2,Europe & Central Asia
Belgium,1810,3283959,1810,2416,40.080487804878,Europe & Central Asia
Belize,1810,25526,1810,580,26.5,America
Benin,1810,636559,1810,598,31,Sub-Saharan Africa
Bermuda,1810,9831,1810,1229,NA,America
Bhutan,1810,89989,1810,630,28.799,South Asia
Bolivia,1810,1100000,1810,855,33,America
Bosnia and Herzegovina,1810,851806,1810,670,35.1,Europe & Central Asia
Botswana,1810,121000,1810,398,33.6,Sub-Saharan Africa
Brazil,1810,4058652,1810,1110,31.9980666666667,America
British Virgin Islands,1810,6700,1810,NA,NA,America
Brunei,1810,2128,1810,1514,29.2,East Asia & Pacific
Bulgaria,1810,2088223,1810,1091,36.24,Europe & Central Asia
Burkina Faso,1810,1665421,1810,480,29.2,Sub-Saharan Africa
Burundi,1810,899097,1810,422,31.5,Sub-Saharan Africa
Cambodia,1810,2090000,1810,905,35,East Asia & Pacific
Cameroon,1810,1860054,1810,627,28.75,Sub-Saharan Africa
Canada,1810,727603,1810,1400,39.0149677419355,America
Cape Verde,1810,55716,1810,530,33.8,Sub-Saharan Africa
Cayman Islands,1810,2439,1810,1041,NA,America
Central African Republic,1810,479444,1810,425,30,NA
Chad,1810,1432000,1810,419,30.9,Sub-Saharan Africa
Channel Islands,1810,43908,1810,NA,NA,Europe & Central Asia
Chile,1810,771447,1810,1028,32,America
China,1810,350542958,1810,985,32,East Asia & Pacific
Christmas Island,1810,NA,1810,NA,NA,East Asia & Pacific
Cocos Island,1810,NA,1810,NA,NA,East Asia & Pacific
Colombia,1810,1206000,1810,964,32,America
Comoros,1810,56346,1810,703,32.1,Sub-Saharan Africa
"Congo, Dem. Rep.",1810,5163819,1810,505,31.6,Sub-Saharan Africa
"Congo, Rep.",1810,314465,1810,591,32.7,Sub-Saharan Africa
Cook Is,1810,16333,1810,NA,NA,NA
Costa Rica,1810,57584,1810,776,30.2147,America
Cote d'Ivoire,1810,1088530,1810,845,31.156,Sub-Saharan Africa
Croatia,1810,1227886,1810,NA,36.1,Europe & Central Asia
Cuba,1810,470176,1810,970,33.64,America
Cyprus,1810,184590,1810,855,38.5012631578947,Europe & Central Asia
Czech Republic,1810,5516349,1810,1918,34.9544,NA
Czechoslovakia,1810,NA,1810,NA,NA,Europe & Central Asia
Denmark,1810,1108146,1810,2050,41.7148445971958,Europe & Central Asia
Djibouti,1810,22848,1810,776,29.9,Middle East & North Africa
Dominica,1810,19950,1810,664,NA,America
Dominican Republic,1810,89000,1810,668,29.9,NA
East Germany,1810,NA,1810,NA,NA,Europe & Central Asia
Ecuador,1810,5e+05,1810,530,32.9,America
Egypt,1810,4218711,1810,792,33,Middle East & North Africa
El Salvador,1810,248000,1810,976,28.7,America
Equatorial Guinea,1810,80377,1810,360,29.8,Sub-Saharan Africa
Eritrea,1810,205010,1810,533,30.2,Sub-Saharan Africa
Eritrea and Ethiopia,1810,NA,1810,NA,NA,Sub-Saharan Africa
Estonia,1810,334136,1810,949,34.8586341101373,Europe & Central Asia
Ethiopia,1810,2948990,1810,523,29.7,Sub-Saharan Africa
Faeroe Islands,1810,13537,1810,NA,NA,Europe & Central Asia
Falkland Is (Malvinas),1810,100,1810,NA,NA,NA
Fiji,1810,132682,1810,786,26.1,East Asia & Pacific
Finland,1810,1070625,1810,1267,36.9473377991909,Europe & Central Asia
France,1810,30293172,1810,1839,37.4,Europe & Central Asia
French Guiana,1810,9899,1810,NA,30.5,America
French Polynesia,1810,63322,1810,NA,25.6,East Asia & Pacific
Gabon,1810,158227,1810,391,30.6,Sub-Saharan Africa
Gambia,1810,103274,1810,818,28.8,Sub-Saharan Africa
Georgia,1810,1072178,1810,544,31.871,Europe & Central Asia
Germany,1810,23882461,1810,1759,38.37,Europe & Central Asia
Ghana,1810,2016034,1810,701,28,Sub-Saharan Africa
Gibraltar,1810,9873,1810,NA,NA,Europe & Central Asia
Greece,1810,2230659,1810,1395,36.6,Europe & Central Asia
Greenland,1810,9584,1810,394,33.8670311921472,Europe & Central Asia
Grenada,1810,29409,1810,960,31.4,America
Guadeloupe,1810,80726,1810,NA,27.655,America
Guam,1810,8736,1810,NA,27.5,East Asia & Pacific
Guatemala,1810,524190,1810,858,25.8016,America
Guernsey,1810,NA,1810,NA,NA,Europe & Central Asia
Guinea,1810,983959,1810,451,29.6034482758621,Sub-Saharan Africa
Guinea-Bissau,1810,218167,1810,778,32,Sub-Saharan Africa
Guyana,1810,166034,1810,1216,31.12,America
Haiti,1810,723000,1810,634,29,America
Holy See,1810,905,1810,NA,NA,Europe & Central Asia
Honduras,1810,132182,1810,676,33.9,America
"Hong Kong, China",1810,20000,1810,1008,34.9,East Asia & Pacific
Hungary,1810,3814221,1810,1251,36,Europe & Central Asia
Iceland,1810,61428,1810,928,43.1391553263293,Europe & Central Asia
India,1810,171940819,1810,1051,25.4424,South Asia
Indonesia,1810,16537268,1810,996,30,East Asia & Pacific
Iran,1810,6413820,1810,979,25.6,Middle East & North Africa
Iraq,1810,1084941,1810,971,31.2,Middle East & North Africa
Ireland,1810,4541676,1810,1449,38.3,Europe & Central Asia
Isle of Man,1810,23533,1810,NA,NA,Europe & Central Asia
Israel,1810,209954,1810,881,32,Middle East & North Africa
Italy,1810,19491674,1810,2371,29.69,Europe & Central Asia
Jamaica,1810,401000,1810,1172,34.2,America
Japan,1810,30645903,1810,1064,36.4039753846154,East Asia & Pacific
Jersey,1810,NA,1810,NA,NA,Europe & Central Asia
Jordan,1810,217000,1810,978,31.7,Middle East & North Africa
Kazakhstan,1810,2041282,1810,1153,26.2,Europe & Central Asia
Kenya,1810,2574000,1810,881,25.5,Sub-Saharan Africa
Kiribati,1810,17876,1810,556,24.9,East Asia & Pacific
North Korea,1810,4345000,1810,573,26,NA
South Korea,1810,9395000,1810,570,25.8,NA
United Korea (former),1810,NA,1810,NA,NA,NA
Kosovo,1810,NA,1810,NA,NA,Europe & Central Asia
Kuwait,1810,81280,1810,1139,26,Middle East & North Africa
Kyrgyz Republic,1810,530343,1810,509,23.941,NA
Lao,1810,470000,1810,866,31.9,NA
Latvia,1810,590588,1810,760,33,Europe & Central Asia
Lebanon,1810,332000,1810,1090,29.7,Middle East & North Africa
Lesotho,1810,276361,1810,395,32.8,Sub-Saharan Africa
Liberia,1810,313543,1810,798,31.1,Sub-Saharan Africa
Libya,1810,534730,1810,1051,33.1,Middle East & North Africa
Liechtenstein,1810,5802,1810,NA,NA,Europe & Central Asia
Lithuania,1810,778655,1810,1285,28.9,Europe & Central Asia
Luxembourg,1810,127030,1810,1455,36.9,Europe & Central Asia
"Macao, China",1810,21325,1810,994,34.7,East Asia & Pacific
"Macedonia, FYR",1810,391865,1810,691,36.1,Europe & Central Asia
Madagascar,1810,1612106,1810,574,30.5,Sub-Saharan Africa
Malawi,1810,737000,1810,350,30.3,Sub-Saharan Africa
Malaysia,1810,287000,1810,999,30.6,East Asia & Pacific
Maldives,1810,42378,1810,844,32.647,South Asia
Mali,1810,1403398,1810,603,26.408,Sub-Saharan Africa
Malta,1810,134072,1810,783,28.7,Europe & Central Asia
Marshall Islands,1810,5828,1810,542,NA,East Asia & Pacific
Martinique,1810,84039,1810,NA,30.153,America
Mauritania,1810,382696,1810,528,32,Sub-Saharan Africa
Mauritius,1810,78310,1810,941,28.7,Sub-Saharan Africa
Mayotte,1810,8219,1810,NA,32.5,Sub-Saharan Africa
Mexico,1810,6382317,1810,1381,26.9,America
"Micronesia, Fed. Sts.",1810,16416,1810,521,26.7,East Asia & Pacific
Moldova,1810,712558,1810,622,33.145,Europe & Central Asia
Monaco,1810,7789,1810,1974,NA,Europe & Central Asia
Mongolia,1810,619000,1810,593,31.8,East Asia & Pacific
Montenegro,1810,126582,1810,1059,35.4,Europe & Central Asia
Montserrat,1810,5230,1810,NA,NA,America
Morocco,1810,2595056,1810,716,33.1,Middle East & North Africa
Mozambique,1810,2038660,1810,393,30.2778666666667,Sub-Saharan Africa
Myanmar,1810,3506000,1810,841,30.8,East Asia & Pacific
Namibia,1810,229000,1810,541,32.4,Sub-Saharan Africa
Nauru,1810,1834,1810,555,NA,East Asia & Pacific
Nepal,1810,3881000,1810,655,32.8,South Asia
Netherlands,1810,2293548,1810,3927,39.86,Europe & Central Asia
Netherlands Antilles,1810,NA,1810,NA,34.408,America
New Caledonia,1810,29432,1810,NA,26,East Asia & Pacific
New Zealand,1810,1e+05,1810,659,34.05,East Asia & Pacific
Ngorno-Karabakh,1810,NA,1810,NA,NA,Europe & Central Asia
Nicaragua,1810,219387,1810,975,25.4,America
Niger,1810,1244861,1810,447,30.8,Sub-Saharan Africa
Nigeria,1810,12100855,1810,867,30.4,Sub-Saharan Africa
Niue,1810,4529,1810,NA,NA,East Asia & Pacific
Norfolk Island,1810,NA,1810,NA,NA,East Asia & Pacific
Northern Cyprus,1810,NA,1810,NA,NA,Europe & Central Asia
Northern Mariana Islands,1810,3360,1810,NA,NA,East Asia & Pacific
Norway,1810,918398,1810,1299,36.4750060554194,Europe & Central Asia
Oman,1810,318000,1810,917,32.3,Middle East & North Africa
Pakistan,1810,13385672,1810,1020,25.8,South Asia
Palau,1810,3875,1810,840,NA,East Asia & Pacific
Panama,1810,78842,1810,848,32.9,America
Papua New Guinea,1810,754894,1810,547,31.5,East Asia & Pacific
Paraguay,1810,143000,1810,836,35.5,America
Peru,1810,1315575,1810,1206,35.7,America
Philippines,1810,1894389,1810,964,30.9,East Asia & Pacific
Pitcairn,1810,NA,1810,NA,NA,East Asia & Pacific
Poland,1810,9960687,1810,1260,35.9,Europe & Central Asia
Portugal,1810,3163489,1810,1687,35.6,Europe & Central Asia
Puerto Rico,1810,198271,1810,1377,30.43,America
Qatar,1810,14092,1810,1139,30.8,Middle East & North Africa
Reunion,1810,92744,1810,NA,33,Sub-Saharan Africa
Romania,1810,5915097,1810,817,35.7,Europe & Central Asia
Russia,1810,31088398,1810,1447,29.5734571976521,Europe & Central Asia
Rwanda,1810,928368,1810,437,31.8,Sub-Saharan Africa
St. Barthélemy,1810,NA,1810,NA,NA,NA
St. Helena,1810,1997,1810,NA,NA,NA
St. Kitts and Nevis,1810,17202,1810,1166,NA,NA
St. Lucia,1810,24000,1810,876,28.008,NA
St. Martin,1810,NA,1810,NA,NA,NA
St. Vincent and the Grenadines,1810,25781,1810,839,25.986,NA
St.-Pierre-et-Miquelon,1810,1782,1810,NA,NA,NA
Samoa,1810,47220,1810,1402,25.4,East Asia & Pacific
San Marino,1810,5492,1810,1427,NA,Europe & Central Asia
Sao Tome and Principe,1810,22731,1810,866,31,Sub-Saharan Africa
Saudi Arabia,1810,2091000,1810,852,32.1,Middle East & North Africa
Senegal,1810,1009886,1810,498,25.2,Sub-Saharan Africa
Serbia,1810,2147197,1810,1360,35.5,Europe & Central Asia
Serbia and Montenegro,1810,NA,1810,NA,NA,Europe & Central Asia
Serbia excluding Kosovo,1810,NA,1810,NA,NA,Europe & Central Asia
Seychelles,1810,12522,1810,824,37,Sub-Saharan Africa
Sierra Leone,1810,794264,1810,735,25.1,Sub-Saharan Africa
Singapore,1810,30000,1810,1023,29.1,East Asia & Pacific
Slovak Republic,1810,2140651,1810,1429,36.4,Europe & Central Asia
Slovenia,1810,469664,1810,1411,36.6,Europe & Central Asia
Solomon Islands,1810,56998,1810,364,25.1,East Asia & Pacific
Somalia,1810,995738,1810,700,29.4,Sub-Saharan Africa
Somaliland,1810,NA,1810,NA,NA,Sub-Saharan Africa
South Africa,1810,1494779,1810,1482,33.5,Sub-Saharan Africa
South Ossetia,1810,NA,1810,NA,NA,Europe & Central Asia
Spain,1810,11873298,1810,1520,29.5,Europe & Central Asia
Sri Lanka,1810,1213000,1810,899,32.6,South Asia
Sudan,1810,4047408,1810,519,31.4,Sub-Saharan Africa
Suriname,1810,80721,1810,1639,32.9,America
Svalbard,1810,NA,1810,NA,NA,Europe & Central Asia
Swaziland,1810,86000,1810,490,32.3,Sub-Saharan Africa
Sweden,1810,2428185,1810,1368,31.99,Europe & Central Asia
Switzerland,1810,1904962,1810,2705,38,Europe & Central Asia
Syria,1810,1337000,1810,1083,31.1,Middle East & North Africa
Taiwan,1810,NA,1810,997,28.3,East Asia & Pacific
Tajikistan,1810,466629,1810,558,24.235,Europe & Central Asia
Tanzania,1810,3019768,1810,563,32.2,Sub-Saharan Africa
Thailand,1810,4665000,1810,933,30.4,East Asia & Pacific
Timor-Leste,1810,137262,1810,531,28.949,East Asia & Pacific
Togo,1810,445985,1810,683,31.3,Sub-Saharan Africa
Tokelau,1810,1007,1810,NA,NA,East Asia & Pacific
Tonga,1810,18621,1810,664,28.2,East Asia & Pacific
Transnistria,1810,NA,1810,NA,NA,Europe & Central Asia
Trinidad and Tobago,1810,60000,1810,1232,32.9,America
Tunisia,1810,868499,1810,717,28.8,Middle East & North Africa
Turkey,1810,9923007,1810,1223,35,Europe & Central Asia
Turkmenistan,1810,367215,1810,954,24,Europe & Central Asia
Turks and Caicos Islands,1810,3296,1810,487,NA,America
Tuvalu,1810,2499,1810,720,NA,East Asia & Pacific
Uganda,1810,2101397,1810,464,25.3,Sub-Saharan Africa
Ukraine,1810,11215490,1810,772,36.6,Europe & Central Asia
United Arab Emirates,1810,40153,1810,1036,30.7,Middle East & North Africa
United Kingdom,1810,14106058,1810,3575,38.3473814418488,Europe & Central Asia
United States,1810,8294928,1810,2283,39.41,America
Uruguay,1810,55000,1810,1761,32.9,America
USSR,1810,NA,1810,NA,NA,Europe & Central Asia
Uzbekistan,1810,1919159,1810,503,26.926,Europe & Central Asia
Wallis et Futuna,1810,3721,1810,NA,NA,East Asia & Pacific
Vanuatu,1810,27791,1810,586,24.3,East Asia & Pacific
Venezuela,1810,718000,1810,683,32.2,America
West Bank and Gaza,1810,165944,1810,1222,32.1,Middle East & North Africa
West Germany,1810,NA,1810,NA,NA,Europe & Central Asia
Western Sahara,1810,2788,1810,NA,34.753,Middle East & North Africa
Vietnam,1810,6551000,1810,862,32,East Asia & Pacific
Virgin Islands (U.S.),1810,40000,1810,NA,33.403,America
North Yemen (former),1810,NA,1810,NA,NA,NA
South Yemen (former),1810,NA,1810,NA,NA,NA
Yemen,1810,2593000,1810,902,23.387,NA
Yugoslavia,1810,NA,1810,NA,NA,Europe & Central Asia
Zambia,1810,747000,1810,680,32.6,Sub-Saharan Africa
Zimbabwe,1810,1085814,1810,879,33.7,Sub-Saharan Africa
Åland,1810,NA,1810,NA,NA,Europe & Central Asia
South Sudan,1810,1041076,1810,508,26.665,Sub-Saharan Africa
Curaçao,1810,NA,1810,NA,NA,NA
Sint Maarten (Dutch part),1810,NA,1810,NA,NA,NA
St. Martin (French part),1810,NA,1810,NA,NA,NA
Antarctica,1810,NA,1810,NA,NA,NA
Bouvet Island,1810,NA,1810,NA,NA,NA
British Indian Ocean Territory,1810,NA,1810,NA,NA,NA
Clipperton,1810,NA,1810,NA,NA,NA
French Southern and Antarctic Lands,1810,NA,1810,NA,NA,NA
Gaza Strip,1810,NA,1810,NA,NA,NA
Heard and McDonald Islands,1810,NA,1810,NA,NA,NA
Northern Marianas,1810,NA,1810,NA,NA,NA
South Georgia and the South Sandwich Islands,1810,NA,1810,NA,NA,NA
US Minor Outlying Islands,1810,NA,1810,NA,NA,NA
Virgin Islands,1810,NA,1810,NA,NA,NA
West Bank,1810,NA,1810,NA,NA,NA
Abkhazia,1811,NA,1810,NA,NA,Europe & Central Asia
Afghanistan,1811,3280000,1810,604,28.0982866666667,South Asia
Akrotiri and Dhekelia,1811,NA,1810,NA,NA,Europe & Central Asia
Albania,1811,423591,1810,668,35.4,Europe & Central Asia
Algeria,1811,2595056,1810,726,28.8224,Middle East & North Africa
American Samoa,1811,8156,1810,NA,NA,East Asia & Pacific
Andorra,1811,2654,1810,1221,NA,Europe & Central Asia
Angola,1811,1567028,1810,648,26.98,Sub-Saharan Africa
Anguilla,1811,2025,1810,NA,NA,America
Antigua and Barbuda,1811,37000,1810,758,33.536,America
Argentina,1811,534000,1810,1510,33.2,America
Armenia,1811,413326,1810,515,33.995,Europe & Central Asia
Aruba,1811,19286,1810,834,34.419,America
Australia,1811,342440,1810,835,34.05,East Asia & Pacific
Austria,1811,3286650,1810,1932,34.4,Europe & Central Asia
Azerbaijan,1811,879960,1810,777,29.165,Europe & Central Asia
Bahamas,1811,27350,1810,1447,35.179,America
Bahrain,1811,64474,1810,1295,30.3,Middle East & North Africa
Bangladesh,1811,19611269,1810,875,25.5,South Asia
Barbados,1811,81729,1810,915,32.124,America
Belarus,1811,2355081,1810,611,36.2,Europe & Central Asia
Belgium,1811,3283959,1810,2416,40.0885365853658,Europe & Central Asia
Belize,1811,25526,1810,580,26.5,America
Benin,1811,636559,1810,598,31,Sub-Saharan Africa
Bermuda,1811,9831,1810,1229,NA,America
Bhutan,1811,89989,1810,630,28.799,South Asia
Bolivia,1811,1100000,1810,855,33,America
Bosnia and Herzegovina,1811,851806,1810,670,35.1,Europe & Central Asia
Botswana,1811,121000,1810,398,33.6,Sub-Saharan Africa
Brazil,1811,4058652,1810,1111,31.9978733333334,America
British Virgin Islands,1811,6700,1810,NA,NA,America
Brunei,1811,2128,1810,1514,29.2,East Asia & Pacific
Bulgaria,1811,2088223,1810,1091,36.284,Europe & Central Asia
Burkina Faso,1811,1665421,1810,480,29.2,Sub-Saharan Africa
Burundi,1811,899097,1810,422,31.5,Sub-Saharan Africa
Cambodia,1811,2090000,1810,905,35,East Asia & Pacific
Cameroon,1811,1860054,1810,627,28.75,Sub-Saharan Africa
Canada,1811,727603,1810,1409,39.016464516129,America
Cape Verde,1811,55716,1810,530,33.8,Sub-Saharan Africa
Cayman Islands,1811,2439,1810,1041,NA,America
Central African Republic,1811,479444,1810,425,30,NA
Chad,1811,1432000,1810,419,30.9,Sub-Saharan Africa
Channel Islands,1811,43908,1810,NA,NA,Europe & Central Asia
Chile,1811,771447,1810,1028,32,America
China,1811,350542958,1810,985,32,East Asia & Pacific
Christmas Island,1811,NA,1810,NA,NA,East Asia & Pacific
Cocos Island,1811,NA,1810,NA,NA,East Asia & Pacific
Colombia,1811,1206000,1810,964,32,America
Comoros,1811,56346,1810,704,32.1,Sub-Saharan Africa
"Congo, Dem. Rep.",1811,5163819,1810,507,31.6,Sub-Saharan Africa
"Congo, Rep.",1811,314465,1810,593,32.7,Sub-Saharan Africa
Cook Is,1811,16333,1810,NA,NA,NA
Costa Rica,1811,57584,1810,776,30.2147,America
Cote d'Ivoire,1811,1088530,1810,849,31.156,Sub-Saharan Africa
Croatia,1811,1227886,1810,NA,36.1,Europe & Central Asia
Cuba,1811,470176,1810,982,33.78,America
Cyprus,1811,184590,1810,855,38.5013894736842,Europe & Central Asia
Czech Republic,1811,5516349,1810,1919,34.9544,NA
Czechoslovakia,1811,NA,1810,NA,NA,Europe & Central Asia
Denmark,1811,1108146,1810,2054,39.3092528702521,Europe & Central Asia
Djibouti,1811,22848,1810,779,29.9,Middle East & North Africa
Dominica,1811,19950,1810,664,NA,America
Dominican Republic,1811,89000,1810,668,29.9,NA
East Germany,1811,NA,1810,NA,NA,Europe & Central Asia
Ecuador,1811,5e+05,1810,530,32.9,America
Egypt,1811,4218711,1810,792,33,Middle East & North Africa
El Salvador,1811,248000,1810,976,28.7,America
Equatorial Guinea,1811,80377,1810,361,29.8,Sub-Saharan Africa
Eritrea,1811,205010,1810,533,30.2,Sub-Saharan Africa
Eritrea and Ethiopia,1811,NA,1810,NA,NA,Sub-Saharan Africa
Estonia,1811,334136,1810,950,35.4918634035465,Europe & Central Asia
Ethiopia,1811,2948990,1810,523,29.7,Sub-Saharan Africa
Faeroe Islands,1811,13537,1810,NA,NA,Europe & Central Asia
Falkland Is (Malvinas),1811,100,1810,NA,NA,NA
Fiji,1811,132682,1810,786,26.1,East Asia & Pacific
Finland,1811,1070625,1810,1269,30.6948161206804,Europe & Central Asia
France,1811,30293172,1810,1842,36.1,Europe & Central Asia
French Guiana,1811,9899,1810,NA,30.5,America
French Polynesia,1811,63322,1810,NA,25.6,East Asia & Pacific
Gabon,1811,158227,1810,391,30.6,Sub-Saharan Africa
Gambia,1811,103274,1810,818,28.8,Sub-Saharan Africa
Georgia,1811,1072178,1810,544,31.871,Europe & Central Asia
